region,ine_ca_code,law,local_term,local_term_es,canonical,article,legacy,label_abolished,flag,confidence,verified_at_version
Andalucía,01,"Ley 7/2021, de 1 de diciembre, de impulso para la sostenibilidad del territorio de Andalucía (LISTA)",suelo urbano,,URBAN_CONSOLIDATED,,False,True,,verified,0.1.1-draft
Andalucía,01,"Ley 7/2021, de 1 de diciembre, de impulso para la sostenibilidad del territorio de Andalucía (LISTA)",suelo rústico con actuación de nueva urbanización,,DEVELOPABLE_SECTORED,,False,False,,verified,0.1.1-draft
Andalucía,01,"Ley 7/2021, de 1 de diciembre, de impulso para la sostenibilidad del territorio de Andalucía (LISTA)",suelo rústico común,,RURAL_ORDINARY,,False,False,,verified,0.1.1-draft
Andalucía,01,"Ley 7/2021, de 1 de diciembre, de impulso para la sostenibilidad del territorio de Andalucía (LISTA)",suelo rústico especialmente protegido,,RURAL_PROTECTED,,False,False,,verified,0.1.1-draft
Andalucía,01,"Ley 7/2021, de 1 de diciembre, de impulso para la sostenibilidad del territorio de Andalucía (LISTA)",núcleo rural tradicional,,RURAL_SETTLEMENT,,False,False,,verified,0.1.1-draft
Andalucía,01,"Ley 7/2021, de 1 de diciembre, de impulso para la sostenibilidad del territorio de Andalucía (LISTA)",hábitat rural diseminado,,RURAL_SETTLEMENT,,False,False,,verified,0.1.1-draft
Andalucía,01,"Ley 7/2021, de 1 de diciembre, de impulso para la sostenibilidad del territorio de Andalucía (LISTA)",suelo urbanizable (LOUA legacy),,DEVELOPABLE_SECTORED,,True,False,,verified,0.1.1-draft
Andalucía,01,"Ley 7/2021, de 1 de diciembre, de impulso para la sostenibilidad del territorio de Andalucía (LISTA)",suelo no urbanizable (LOUA legacy),,RURAL_ORDINARY,,True,False,,verified,0.1.1-draft
Aragón,02,"Decreto Legislativo 1/2014, Texto Refundido de la Ley de Urbanismo de Aragón",suelo urbano consolidado,,URBAN_CONSOLIDATED,,False,False,,needs_review,0.1.1-draft
Aragón,02,"Decreto Legislativo 1/2014, Texto Refundido de la Ley de Urbanismo de Aragón",suelo urbano no consolidado,,URBAN_UNCONSOLIDATED,,False,False,,needs_review,0.1.1-draft
Aragón,02,"Decreto Legislativo 1/2014, Texto Refundido de la Ley de Urbanismo de Aragón",suelo urbanizable delimitado,,DEVELOPABLE_SECTORED,,False,False,,needs_review,0.1.1-draft
Aragón,02,"Decreto Legislativo 1/2014, Texto Refundido de la Ley de Urbanismo de Aragón",suelo urbanizable no delimitado,,DEVELOPABLE_UNSECTORED,,False,False,,needs_review,0.1.1-draft
Aragón,02,"Decreto Legislativo 1/2014, Texto Refundido de la Ley de Urbanismo de Aragón",suelo no urbanizable genérico,,RURAL_ORDINARY,,False,False,,needs_review,0.1.1-draft
Aragón,02,"Decreto Legislativo 1/2014, Texto Refundido de la Ley de Urbanismo de Aragón",suelo no urbanizable especial,,RURAL_PROTECTED,,False,False,,needs_review,0.1.1-draft
Principado de Asturias,03,"Decreto Legislativo 1/2004, Texto Refundido en materia de Ordenación del Territorio y Urbanismo (TROTU)",suelo urbano consolidado,,URBAN_CONSOLIDATED,art. 114,False,False,,verified,0.1.1-draft
Principado de Asturias,03,"Decreto Legislativo 1/2004, Texto Refundido en materia de Ordenación del Territorio y Urbanismo (TROTU)",suelo urbano no consolidado,,URBAN_UNCONSOLIDATED,art. 114,False,False,,verified,0.1.1-draft
Principado de Asturias,03,"Decreto Legislativo 1/2004, Texto Refundido en materia de Ordenación del Territorio y Urbanismo (TROTU)",suelo urbanizable prioritario,,DEVELOPABLE_SECTORED,,False,False,,verified,0.1.1-draft
Principado de Asturias,03,"Decreto Legislativo 1/2004, Texto Refundido en materia de Ordenación del Territorio y Urbanismo (TROTU)",suelo urbanizable no prioritario,,DEVELOPABLE_UNSECTORED,,False,False,,verified,0.1.1-draft
Principado de Asturias,03,"Decreto Legislativo 1/2004, Texto Refundido en materia de Ordenación del Territorio y Urbanismo (TROTU)",núcleo rural (Catálogo del Principado),,RURAL_SETTLEMENT,,False,False,,verified,0.1.1-draft
Principado de Asturias,03,"Decreto Legislativo 1/2004, Texto Refundido en materia de Ordenación del Territorio y Urbanismo (TROTU)",suelo no urbanizable de interés,,RURAL_PROTECTED,art. 122,False,False,,verified,0.1.1-draft
Principado de Asturias,03,"Decreto Legislativo 1/2004, Texto Refundido en materia de Ordenación del Territorio y Urbanismo (TROTU)",suelo no urbanizable (genérico),,RURAL_ORDINARY,art. 115,False,False,,verified,0.1.1-draft
